Cars Names,HorsePower_clean,TopSpeed_clean,Accel_clean,Cluster
Golf R Cabriolet,265.0,250.0,5.9,0
Passat Alltrack TDI,190.0,220.0,8.0,0
ID. Buzz Cargo EV,204.0,145.0,10.2,1
Versa,122.0,180.0,10.4,1
Micra,100.0,175.0,10.8,1
Patrol Platinum,400.0,210.0,7.3,0
Qashqai,156.0,195.0,8.9,1
Murano,260.0,210.0,7.5,0
Maxima Platinum,300.0,220.0,6.2,0
Armada,400.0,210.0,6.5,0
Kicks,122.0,180.0,10.7,1
X-Trail,201.0,200.0,8.0,0
Z (Fairlady Z),400.0,250.0,4.5,0
Almera,100.0,185.0,10.7,1
Sylphy,137.0,190.0,9.6,1
Note,109.0,170.0,11.5,1
Sunny,118.0,180.0,11.0,1
Cube,122.0,175.0,10.6,1
Juke,117.0,180.0,10.4,1
Terrano,110.0,168.0,13.5,1
Magnite,100.0,160.0,13.0,1
Xterra,261.0,200.0,7.8,0
Patrol,400.0,210.0,7.3,0
GT-R NISMO,600.0,330.0,2.9,2
370Z Roadster,332.0,250.0,5.5,0
Ariya ,389.0,200.0,5.1,0
Patrol Royale,400.0,210.0,6.6,0
Infiniti QX80*,400.0,210.0,6.5,0
Tiida,126.0,190.0,10.1,1
Pulsar,115.0,190.0,10.7,1
Latio,102.0,175.0,11.5,1
Bluebird Sylphy,133.0,185.0,10.5,1
March,79.0,170.0,13.7,1
Rogue Sport,141.0,190.0,9.8,1
X-Trail Hybrid,179.0,180.0,9.4,1
Pathfinder Rock Creek,284.0,190.0,7.4,0
Armada Platinum,400.0,210.0,6.5,0
Terrano XL,104.0,165.0,12.5,1
GT-R50 by Italdesign,720.0,315.0,2.5,2
370Z NISMO,350.0,250.0,5.2,0
Ariya E-4ORCE,389.0,200.0,5.1,0
Patrol NISMO,428.0,210.0,6.5,0
Infiniti Q60*,300.0,250.0,5.0,0
Primera,140.0,200.0,9.6,1
Skyline,400.0,250.0,5.0,0
Cedric,150.0,190.0,10.5,1
Gloria,210.0,210.0,8.6,0
Stanza,120.0,175.0,11.0,1
Patrol Super Safari,280.0,190.0,8.2,0
Pathfinder Hybrid,250.0,190.0,7.7,0
X-Terra Pro-4X,190.0,175.0,10.8,1
Rogue Platinum,201.0,180.0,8.2,0
Qashqai Tekna,158.0,190.0,9.2,1
GT-R V-Spec,600.0,330.0,2.8,2
Skyline NISMO,420.0,270.0,4.7,2
Ariya Lounge Edition,389.0,200.0,5.1,0
Patrol Titanium,428.0,210.0,6.5,0
Infiniti FX50*,390.0,250.0,5.6,0
Avenir,140.0,180.0,9.8,1
Wingroad,125.0,175.0,10.8,1
Presea,115.0,170.0,11.5,1
Leopard,210.0,200.0,8.4,0
Sunny NISMO Edition,190.0,200.0,7.5,0
Paladin,150.0,180.0,10.6,1
Hardbody SUV,158.0,175.0,11.0,1
Patrol Desert Edition,428.0,210.0,6.5,0
Pathfinder Armada,400.0,200.0,6.5,0
Rogue Midnight Edition,201.0,180.0,8.2,0
GT-R Black Edition,600.0,330.0,2.8,2
Fairlady Z Heritage,400.0,250.0,4.2,0
Skyline GT-R R34,276.0,250.0,5.6,0
Ariya Premiere,389.0,200.0,5.1,0
Infiniti QX55*,268.0,230.0,6.5,0
NV350 Caravan,129.0,155.0,12.5,1
Navara,190.0,180.0,10.2,1
Titan XD,400.0,195.0,6.9,0
Evalia,85.0,140.0,15.0,1
Cabstar,130.0,145.0,14.8,1
Cherry,67.0,145.0,14.0,1
Laurel,94.0,160.0,12.5,1
Silvia,247.0,235.0,5.9,0
NX Coupe,140.0,200.0,9.0,1
