myear,fuel,transmission,km,body,Color,Engine Type,No of Cylinder,Length,Width,Height,Seats,Gear Box,Drive Type,Steering Type,owner_type,state,City,listed_price
2021,cng,manual,23484.0,hatchback,solid white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,uttar pradesh,noida,580000.0
2020,cng,manual,15000.0,minivans,gray,in-line engine,4.0,3675.0,1475.0,1825.0,5.0,5 speed,rwd,manual,first,karnataka,kengeri,492801.0
2022,cng,manual,25000.0,,white,k12n,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,first,uttar pradesh,kanpur,530000.0
2022,cng,manual,9955.0,,white,k12n,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,first,haryana,gurgaon,620000.0
2012,cng,manual,130000.0,sedan,white,sohc i-vtec,4.0,4440.0,1695.0,1485.0,5.0,5 speed,fwd,power,fourth,gujarat,rajkot,301000.0
2021,cng,manual,62386.0,minivans,silver,g12b,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,first,delhi,new delhi,500000.0
2018,cng,manual,83949.0,hatchback,white,f8d engine,3.0,3430.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,haryana,gurgaon,300000.0
2014,cng,manual,83500.0,muv,silver,k series engine,4.0,4265.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,maharashtra,mumbai,600000.0
2019,cng,manual,140000.0,minivans,white,in-line engine,4.0,3675.0,1475.0,1825.0,5.0,5 speed,rwd,manual,first,gujarat,visnagar,390000.0
2012,cng,manual,79000.0,hatchback,red,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,mumbai,275000.0
2019,cng,manual,75000.0,hatchback,grey,,4.0,3610.0,1645.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,pune,540000.0
2014,cng,manual,70000.0,hatchback,brown,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,320000.0
2016,cng,manual,20000.0,muv,grey,k14b petrol engine,4.0,4296.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,maharashtra,mumbai,790000.0
2013,cng,manual,71000.0,minivans,silver,in-line engine,4.0,3675.0,1475.0,1800.0,5.0,5 speed,rwd,power,first,maharashtra,mumbai,350000.0
2016,cng,manual,72141.0,hatchback,silky silver,f8d engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,delhi,new delhi,250000.0
2015,cng,manual,125893.0,hatchback,new granite grey,f8d engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,second,haryana,gurgaon,225000.0
2014,cng,manual,60783.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,300000.0
2021,cng,manual,7270.0,hatchback,brown,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,uttar pradesh,noida,515000.0
2020,cng,manual,35000.0,minivans,silver,g12b,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,first,maharashtra,thane,575000.0
2016,cng,manual,51000.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,uttar pradesh,noida,385000.0
2020,cng,manual,34525.0,hatchback,grey,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,delhi,new delhi,500000.0
2016,cng,manual,106871.0,muv,granite blackk,k14b petrol engine,4.0,4296.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,haryana,sonipat,600000.0
2012,cng,manual,76000.0,hatchback,brown,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,mumbai,295000.0
2013,cng,manual,100000.0,hatchback,white,f8d engine,3.0,3395.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,uttar pradesh,greater noida,155000.0
2010,cng,manual,120000.0,sedan,silver,bifuel engine,4.0,4250.0,1670.0,1370.0,5.0,5 speed,fwd,power,second,gujarat,morbi,140000.0
2017,cng,manual,94129.0,hatchback,silky silver,f8d engine,3.0,3430.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,delhi,new delhi,290000.0
2012,cng,manual,78917.0,hatchback,white,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,delhi,new delhi,200000.0
2015,cng,manual,124076.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,uttar pradesh,ghaziabad,234579.0
2014,cng,manual,100000.0,hatchback,white,,4.0,,,,5.0,,,power,first,gujarat,rajkot,270000.0
2016,cng,manual,40562.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,fourth,delhi,new delhi,310000.0
2017,cng,manual,45825.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,delhi,new delhi,375000.0
2020,cng,manual,70000.0,hatchback,other,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,uttar pradesh,sahibabad,490000.0
2018,cng,manual,46000.0,minivans,grey,in-line engine,4.0,3675.0,1475.0,1800.0,5.0,5 speed,rwd,power,first,haryana,gurgaon,450000.0
2020,cng,manual,95000.0,hatchback,white,k10b engine,3.0,3695.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,haryana,gurgaon,540000.0
2022,cng,manual,20000.0,,white,k12n,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,first,maharashtra,latur,625699.0
2018,cng,manual,40000.0,minivans,white,in-line engine,4.0,3675.0,1475.0,1825.0,5.0,5 speed,rwd,manual,first,gujarat,gandhinagar,440000.0
2012,cng,manual,65337.0,hatchback,silky silver,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,271156.0
2010,cng,manual,45022.0,hatchback,bright red,k series petrol engine,3.0,3600.0,1475.0,1595.0,5.0,5 speed,fwd,power,second,gujarat,ahmedabad,160000.0
2019,cng,manual,70000.0,minivans,gray,in-line engine,4.0,3675.0,1475.0,1825.0,5.0,5 speed,rwd,manual,first,haryana,sonipat,370000.0
2015,cng,manual,51382.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,third,delhi,new delhi,263928.0
2010,cng,manual,120000.0,sedan,other,in-line engine,4.0,4250.0,1670.0,1370.0,5.0,5 speed,,power,third,maharashtra,thane,130000.0
2020,cng,manual,12000.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,uttar pradesh,allahabad,600000.0
