symbol,date,open,high,low,close,network,close_next,lag_1,lag_2,lag_3,lag_5,lag_7,lag_14,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_mean_60,roll_std_60,ret_1,ret_7
BTCUSDT,2025-02-27,84250.09,87078.46,82716.49,84708.58,Bitcoin,84349.94,84250.09,88680.4,91552.88,96551.01,98305.0,96608.14,91168.99142857142,5415.144767207181,96478.47200000001,4485.563211641736,97849.24949999999,4531.991305364111,0.005442011990729023,-0.13830852957631856
BTCUSDT,2025-02-28,84708.57,85120.0,78258.52,84349.94,Bitcoin,86064.53,84708.58,84250.09,88680.4,96258.0,96181.98,97500.48,89478.7,5436.183852553494,95832.362,4790.198067395729,97708.54766666667,4813.938160478308,-0.0042338096093689215,-0.12301722214493815
BTCUSDT,2025-03-01,84349.95,86558.0,83824.78,86064.53,Bitcoin,94270.0,84349.94,84708.58,84250.09,91552.88,96551.01,97569.66,87980.63142857143,4532.146129088366,95210.41500000001,4807.313218002394,97583.3565,5016.634809114844,0.02032710396711601,-0.10861077476040903
BTCUSDT,2025-03-02,86064.54,95000.0,85050.6,94270.0,Bitcoin,86220.61,86064.53,84349.94,84708.58,88680.4,96258.0,96118.12,87696.63142857143,3952.189810144573,94938.42966666668,4611.629213562763,97577.99333333333,5020.058070823736,0.09534090292481712,-0.020652828855783456
BTCUSDT,2025-03-03,94269.99,94416.46,85117.11,86220.61,Bitcoin,87281.98,94270.0,86064.53,84349.94,84250.09,91552.88,95780.0,86934.87857142858,3581.5485495769963,94457.92833333333,4746.549419540599,97398.59033333333,5229.585229742268,-0.08538654927336375,-0.05824251514534551
BTCUSDT,2025-03-04,86221.16,88967.52,81500.0,87281.98,Bitcoin,90606.01,86220.61,94270.0,86064.53,84708.58,88680.4,95671.74,86735.10428571429,3506.1661413702755,94110.64133333335,4880.373580808033,97217.05366666666,5388.8335118030645,0.012309933784973248,-0.015769211686009532
BTCUSDT,2025-03-05,87281.98,91000.0,86334.53,90606.01,Bitcoin,89931.89,87281.98,86220.61,94270.0,84349.94,84250.09,96644.37,87643.09285714287,3577.632326765861,93753.22433333333,4723.658734419268,97090.14550000001,5454.068180462172,0.038083806073143656,0.07544110635371437
BTCUSDT,2025-03-06,90606.0,92810.64,87836.0,89931.89,Bitcoin,86801.75,90606.01,87281.98,86220.61,86064.53,84708.58,98305.0,88389.28000000001,3404.0754564780846,93492.18299999999,4710.789444927237,96949.61683333333,5528.813178974127,-0.007440124556858829,0.06166211262188548
BTCUSDT,2025-03-07,89931.88,91283.02,84667.03,86801.75,Bitcoin,86222.45,89931.89,90606.01,87281.98,94270.0,84349.94,96181.98,88739.53857142858,3024.1140487109365,93165.16033333333,4825.836415942841,96692.386,5636.693128463554,-0.034805673493573885,0.029067122039446502
BTCUSDT,2025-03-08,86801.74,86897.25,85218.47,86222.45,Bitcoin,80734.37,86801.75,89931.89,90606.01,86220.61,86064.53,96551.01,88762.09857142856,3001.3357032512804,92820.76366666667,4942.875627312637,96513.51666666666,5796.254489267875,-0.006673828580645025,0.0018349022529955406
BTCUSDT,2025-03-09,86222.46,86500.0,80000.0,80734.37,Bitcoin,78595.86,86222.45,86801.75,89931.89,87281.98,94270.0,96258.0,86828.43714285713,3214.0892501847597,92295.016,5358.622746018233,96274.74600000001,6141.891783354248,-0.0636502442229373,-0.14358364272833357
BTCUSDT,2025-03-10,80734.48,84123.46,77459.91,78595.86,Bitcoin,82932.99,80734.37,86222.45,86801.75,90606.01,86220.61,91552.88,85739.18714285713,4492.268022000277,91700.05333333333,5850.30957885406,96042.1355,6536.8429219861155,-0.026488223045525672,-0.08843303242693368
